Date,Arkansas,Kansas
1989-01-01,3919,7155
1989-02-01,4336,7697
1989-03-01,3961,6870
1989-04-01,2180,5433
1989-05-01,1261,3660
1989-06-01,1357,2547
1989-07-01,1019,3366
1989-08-01,1007,4812
1989-09-01,1096,3081
1989-10-01,1245,2785
1989-11-01,1948,4386
1989-12-01,3942,6763
1990-01-01,4957,8061
1990-02-01,3368,6230
1990-03-01,2807,5114
1990-04-01,2223,4800
1990-05-01,1398,3112
1990-06-01,1065,2848
1990-07-01,1030,4906
1990-08-01,1043,4462
1990-09-01,1081,3836
1990-10-01,1260,2893
1990-11-01,1948,3877
1990-12-01,2949,5907
1991-01-01,5034,10250
1991-02-01,4043,7397
1991-03-01,2848,5694
1991-04-01,1778,4278
1991-05-01,1211,3082
1991-06-01,1027,2657
1991-07-01,998,4321
1991-08-01,1023,3994
1991-09-01,1045,2629
1991-10-01,1184,2656
1991-11-01,2497,6075
1991-12-01,3297,5538
1992-01-01,4159,6844
1992-02-01,3861,5862
1992-03-01,2708,4372
1992-04-01,2114,4571
1992-05-01,1358,3736
1992-06-01,1108,2814
1992-07-01,1062,3609
1992-08-01,1022,3462
1992-09-01,1029,3132
1992-10-01,1219,3162
1992-11-01,2078,4867
1992-12-01,3596,7543
1993-01-01,4757,8768
1993-02-01,4174,7385
1993-03-01,3999,7019
1993-04-01,2923,4938
1993-05-01,1540,2840
1993-06-01,1078,2559
1993-07-01,1013,3348
1993-08-01,1047,3324
1993-09-01,1126,2395
1993-10-01,1389,2469
1993-11-01,2480,4413
1993-12-01,3473,6565
1994-01-01,5101,8139
1994-02-01,4707,6811
1994-03-01,3388,4960
1994-04-01,2306,3774
1994-05-01,1360,2816
1994-06-01,1107,2890
1994-07-01,990,3526
1994-08-01,887,3749
1994-09-01,1253,2352
1994-10-01,1275,2315
1994-11-01,1897,3819
1994-12-01,3136,7103
1995-01-01,4387,7157
1995-02-01,4171,6607
1995-03-01,3478,5250
1995-04-01,2027,3756
1995-05-01,1337,2912
1995-06-01,1156,1843
1995-07-01,1015,2294
1995-08-01,1021,3564
1995-09-01,1060,2921
1995-10-01,1183,2903
1995-11-01,2265,4066
1995-12-01,4311,9850
1996-01-01,5411,8819
1996-02-01,5249,7823
1996-03-01,3895,6592
1996-04-01,2964,4820
1996-05-01,1519,3017
1996-06-01,1052,1916
1996-07-01,1056,3341
1996-08-01,1060,3505
1996-09-01,1106,1286
1996-10-01,1356,2057
1996-11-01,2462,4867
1996-12-01,3876,9187
1997-01-01,5115,6069
1997-02-01,4724,6502
1997-03-01,3142,4739
1997-04-01,2166,3206
1997-05-01,1647,2127
1997-06-01,1213,1560
1997-07-01,1127,2474
1997-08-01,1127,2018
1997-09-01,1129,1580
1997-10-01,1347,1946
1997-11-01,2713,3698
1997-12-01,3991,5563
1998-01-01,4779,7182
1998-02-01,4088,6044
1998-03-01,3855,7699
1998-04-01,2544,3225
1998-05-01,1431,1973
1998-06-01,1213,1619
1998-07-01,1277,1811
